DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-06,59300,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-07,244433,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-09,350462,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-10,46613,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-11,81891,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2017-12,51110,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-01,53824,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-02,28999,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-03,36763,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-04,52970,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-05,85122,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-06,82802,u,
ESTAT:TOUR_OCC_NIM(1.0),19/12/25 23:00:00,Monthly,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2018-07,143477,u,
